Date (plain text),Day,Description,Date
"March 27, 2013",Wednesday,Holi,3/27/2013
"March 29, 2013",Friday,Good Friday,3/29/2013
"April 19, 2013",Friday,Ram Navami,4/19/2013
"April 24, 2013",Wednesday,Mahavir Jayanti,4/24/2013
"May 1, 2013",Wednesday,May Day,5/1/2013
"August 9, 2013",Friday,Ramzan ID,8/9/2013
"August 15, 2013",Thursday,Independence Day,8/15/2013
"September 9, 2013",Monday,Ganesh Chaturthi,9/9/2013
"October 2, 2013",Wednesday,Gandhi Jayanti,10/2/2013
"October 16, 2013",Wednesday,Bakri ID,10/16/2013
"November 4, 2013",Monday,Diwali – Balipratipada,11/4/2013
"November 14, 2013",Thursday,Muharram,11/14/2013
"December 25, 2013",Wednesday,Christmas,12/25/2013
"March 10, 2013",Sunday,Mahashivratri,3/10/2013
"April 14, 2013",Sunday,Dr.Ambedkar Jayanti,4/14/2013
"October 13, 2013",Sunday,Dussera,10/13/2013
"November 3, 2013",Sunday,Diwali – Laxmi Pooja,11/3/2013
"November 17, 2013",Sunday,Gurunanak Jayanti,11/17/2013
"February 27th, 2014",Thursday,Mahashivratri,2/27/2014
"March 17th, 2014",Monday,Holi,3/17/2014
"April 8th, 2014",Tuesday,Ram Navami,4/8/2014
"April 14th, 2014",Monday,Dr.Baba Saheb Ambedkar Jayanti,4/14/2014
"April 18th, 2014",Friday,Good Friday,4/18/2014
"April 24th, 2014",Thursday,Parliamentary Elections in Mumbai,4/24/2014
"May 1st, 2014",Thursday,May Day,5/1/2014
"July 29th, 2014",Tuesday,Ramzan ID,7/29/2014
"August 15th, 2014",Friday,Independence Day,8/15/2014
"August 29th, 2014",Friday,Ganesh Chaturthi,8/29/2014
"October 2nd, 2014",Thursday,Mahatma Gandhi Jayanti,10/2/2014
"October 3rd, 2014",Friday,Dasera,10/3/2014
"October 6th, 2014",Monday,Bakri ID,10/6/2014
"October 15th, 2014",Wednesday,General Assembly Elections,10/15/2014
"October 23rd, 2014",Thursday,Diwali – Laxmi Pujan,10/23/2014
"October 24th, 2014",Friday,Diwali – Balipratipada,10/24/2014
"November 4th, 2014",Tuesday,Moharram,11/4/2014
"November 6th, 2014",Thursday,Gurunanak Jayanti,11/6/2014
"December 25th, 2014",Thursday,Christmas,12/25/2014
"January 26th, 2014",Sunday,Republic Day,1/26/2014
"April 13th, 2014",Sunday,Mahavir Jayanti,4/13/2014
"January 26, 2015",Monday,Republic Day,1/26/2015
